license_number,zip_code,latitude,longitude
333,60618,41.9393380493,-87.7163971849
2478,60608,41.8541586004,-87.6731697984
2611,60616,41.8352821552,-87.6232011968
2987,60616,41.8453226129,-87.6386569238
3999,60608,41.8490616717,-87.674704085
4013,60623,41.8493535742,-87.7248478277
4146,60647,41.9100926711,-87.7175753532
4444,60609,41.8190126425,-87.6318486356
4749,60623,41.8443879922,-87.7064970959
6268,60619,41.7581592738,-87.6055243828
6351,60640,41.9696640081,-87.659540249
7089,60643,41.6849642974,-87.6591331516
7101,60613,41.9470168122,-87.6749251072
7107,60632,41.8009618207,-87.6891776551
7828,60612,41.8867374631,-87.6861773815
9297,60609,41.8143261167,-87.6406684378
10443,60639,41.9243581221,-87.7282120406
11146,60608,41.8539500093,-87.6809412448
12123,60614,41.9318553107,-87.6410063203
14819,60610,41.9038253092,-87.6290763886
15542,60619,41.7585634328,-87.6126178735
17095,60629,41.7866111939,-87.6876471179
17189,60614,41.9184587434,-87.6373088235
18367,60619,41.7259007012,-87.5988433611
20046,60647,41.9100494194,-87.7214580839
20411,60608,41.853354525,-87.6463672316
22150,60640,41.9685798355,-87.6598155401
24154,60622,41.9030982998,-87.6899790311
24812,60638,41.7772480759,-87.766230997
25165,60619,41.7238602893,-87.6043647208
26670,60651,41.8949961446,-87.7611137018
26858,60608,41.850122325,-87.6955465673
26990,60625,41.9683342414,-87.7090391214
28881,60629,41.7786994751,-87.7284390886
29500,60608,41.8481167848,-87.6832328539
30336,60639,41.9310793328,-87.7725354748
33321,60631,42.0003655278,-87.7907949618
34013,60602,41.8837001725,-87.6310651231
34032,60614,41.9299878695,-87.6431870371
34598,60639,41.9169745353,-87.7545340767
35124,60609,41.8194414263,-87.6653755449
35337,60622,41.9031624786,-87.6720650446
36439,60609,41.8305020487,-87.675052564
36575,60604,41.8794917607,-87.6242043888
36941,60657,41.9388697895,-87.6490864972
41236,60632,41.8057797744,-87.7233749623
44352,60608,41.8360522043,-87.6658496163
44436,60608,41.8338546917,-87.6828551857
44439,60651,41.8953019019,-87.7213425602
46818,60651,41.9027863137,-87.7260601174
47225,60603,41.8808481425,-87.6284355803
47572,60647,41.9319192753,-87.7253875248
48312,60617,41.6974703858,-87.5596772723
49346,60623,41.8515436845,-87.7321998316
49573,60614,41.9116411964,-87.6529900745
51348,60641,41.937696626,-87.7466965032
53884,60609,41.8300736934,-87.68517427
57056,60625,41.9812496714,-87.716263848
57177,60657,41.9415093795,-87.6782107216
64074,60647,41.9103517539,-87.6946042609
64358,60614,41.9323744961,-87.663335611
68559,60623,41.8444022417,-87.721320586
1092043,60614,41.9217236468,-87.6487770098
1123781,60639,41.9237158538,-87.7757731375
1140104,60632,41.8009198739,-87.6916167177
1143689,60654,41.8930881399,-87.6334165522
1195205,60604,41.8786838491,-87.6294726928
1195300,60657,41.9393986982,-87.6539413192
1303122,60625,41.9777952657,-87.6893717826
1332552,60611,41.8974840724,-87.6233777681
1336454,60651,41.8987345045,-87.7457449335
1353972,60639,41.9309892576,-87.7787647539
1354680,60618,41.9373685949,-87.7074270536
1357264,60622,41.8938974142,-87.6670793546
1380531,60639,41.9243559289,-87.7458495111
1382629,60616,41.8579607319,-87.6436583454
1404286,60608,41.8580378202,-87.6685162384
1515626,60640,41.9731513678,-87.6587154984
1519721,60639,41.9205982626,-87.7365782753
1519986,60619,41.7369621819,-87.5902317829
1544402,60625,41.9667990387,-87.6879663455
1573027,60619,41.7627310922,-87.6009862771
1573675,60639,41.9279463246,-87.7659805829
1579026,60616,41.8312133326,-87.6175944131
1597923,60625,41.9748516722,-87.7109527797
1617110,60651,41.9020434207,-87.7649019669
1619087,60634,41.9382932554,-87.7941631129
1648826,60632,41.8159535515,-87.7041384348
1678305,60637,41.7732125487,-87.5874137517
1718567,60647,41.9164080325,-87.6865471493
1737688,60622,41.9035174399,-87.6626910344
1772031,60647,41.9253911033,-87.7016384341
1801087,60608,41.8485391874,-87.6754169836
1804543,60637,41.7729895172,-87.6203552836
1821586,60606,41.8819518765,-87.6366203494
1823266,60625,41.966782769,-87.6880076992
1847262,60639,41.9242423425,-87.7379237121
1874041,60647,41.9219682584,-87.6971816448
1903971,60618,41.9425188714,-87.6878825462
1914928,60642,41.9032460184,-87.6667610998
1915175,60625,41.9681720355,-87.724321555
1923022,60625,41.9759401097,-87.6890055286
1923120,60614,41.9230778551,-87.6456644547
1933877,60639,41.9117869225,-87.7274689821
1942530,60618,41.9368765918,-87.6979004471
1947474,60614,41.9113103613,-87.6315665709
1963368,60614,41.9181692043,-87.6565887396
1964521,60608,41.8351413109,-87.6560907743
1997844,60612,41.8894357463,-87.6878322006
2758017,60619,41.7511405606,-87.6199442942
2912470,60602,41.8837645981,-87.6322753535
2944159,60626,42.0155833135,-87.6752791106
